"PortName";"Time";"DeltaTime";"Hex";"ASCII";"Message"
"Decoder McuHomekit";"23-08-02 14:15:30.78";"23-08-02 14:15:30.78";"";"";""
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"00";".";"Heartbeat"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 00 00 00 FF";"Uª....ÿ";"Heartbeat"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 00 00 01 00 03";"Uª......";"HeartbeatMCU restarting"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 00 00 01 01 04";"Uª......";"HeartbeatMCU running"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 01 00 00 00";"Uª.....";"Query Product Information"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 01 00 4C 7B 22 70 22 3A 22 41 49 70 30 38 6B 4C 49 66 74 62 38 78 2A 2A 2A 22 2C 22 76 22 3A 22 31 2E 30 2E 30 22 2C 22 6D 22 3A 31 2C 22 6D 74 22 3A 31 30 2C 22 6E 22 3A 30 2C 22 69 72 22 3A 22 35 2E 31 32 22 2C 22 6C 6F 77 22 3A 30 7D CA";"Uª...L{"p":"AIp08kLIftb8x***","v":"1.0.0","m":1,"mt":10,"n":0,"ir":"5.12","low":0}Ê";"Product Information {"p":"AIp08kLIftb8x***","v":"1.0.0","m":1,"mt":10,"n":0,"ir":"5.12","low":0}"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 02 00 00 01";"Uª.....";"Query MCU Working Mode"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 02 00 00 04";"Uª.....";"Working Mode MCU uses network module"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 02 00 03 0C 0D 0E 2E";"Uª........";"MCU Working Mode GPIO pins  Tuya NetworkStatus=12  HomeKit NetworkStatus=12  Reset Network=12"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 03 00 02 01 02 07";"Uª.......";"Report Network Connection Status Tuya ConnectionState=Wi-Fi network has been set up but not connected to the router ConnectionState=Not connected"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 04 00 00 06";"Uª.....";"Reset Wi-Fi Cmd"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 04 00 00 03";"Uª.....";"Reset Wi-Fi ACK"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 06 00 05 03 01 00 01 01 10";"Uª..........";"Send Module Command DP=3 Bool=True"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 07 00 08 05 02 00 04 00 00 00 1E 3A";"Uª............:";"Report Data DP=5 Value=30"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 07 00 15 6D 01 00 01 01 66 03 00 0C 32 30 31 38 30 34 31 32 31 35 30 37 62";"Uª....m....f...201804121507b";"Report Data DP=109 Bool=True DP=102 String="201804121507""
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 08 00 00 07";"Uª.....";"Query DP status"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 0A 00 04 00 00 68 00 75";"Uª......h.u";"Start OTA update Size=26624"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 0A 00 01 00 0D";"Uª......";"Start OTA update 256 bytes"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 0B 00 08 00 11 22 33 01 02 03 04 82";"Uª......"3.....";"Transmit Package Offset=0x00112233 Data=01 02 03 04"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 0B 00 04 00 11 22 33 74";"Uª......"3t";"Transmit Package Offset=0x00112233"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 0B 00 00 0D";"Uª.....";"Transmit Package ACK"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 0C 00 00 0E";"Uª.....";"Get GMT Time"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 0C 00 07 01 10 04 13 05 06 07 4C";"Uª...........L";"Get GMT Time sucessful Date=16-04-19 05:06"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 1C 00 00 1E";"Uª.....";"Get Local Time"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 1C 00 08 01 10 04 13 05 06 07 02 5F";"Uª............_";"Get Local Time sucessful Date=16-04-19 05:06 Week=2"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 0E 00 00 10";"Uª.....";"Test Wi-Fi Cmd"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 00 0E 00 02 00 00 0F";"Uª.......";"Test Wi-Fi failed error=SSID is not found"
"Decoder";"23-08-02 14:15:39.45";"00:00:08.68";"55 AA 03 0F 00 00 11";"Uª.....";"Get Memory"
