"PortName";"Time";"DeltaTime";"Hex";"ASCII";"Message"
"Decoder McuLowPower";"23-07-29 16:55:16.36";"23-07-29 16:55:16.36";"";"";""
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"00";".";"Heartbeat"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 00 00 00 FF";"Uª....ÿ";"Heartbeat"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 01 00 00 00";"Uª.....";"Product Query"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 01 00 24 7B 22 70 22 3A 22 76 48 58 45 63 71 6E 74 4C 70 6B 41 6C 4F 73 79 22 2C 22 76 22 3A 22 31 2E 30 2E 30 22 7D BF";"Uª...${"p":"vHXEcqntLpkAlOsy","v":"1.0.0"}¿";"Product {"p":"vHXEcqntLpkAlOsy","v":"1.0.0"}"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 02 00 01 04 06";"Uª......";"Report Network Status Wi-Fi has been connected to the router and the cloud"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 02 00 00 01";"Uª.....";"Report Network Status ACK"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 03 00 00 02";"Uª.....";"Reset Wi-Fi Cmd"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 04 00 01 01 05";"Uª......";"Wi-Fi State Enter AP configuration mode"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 04 00 00 03";"Uª.....";"Wi-Fi State ACK"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 05 00 05 6D 01 00 01 01 79";"Uª....m....y";"Status Data DP=109 Bool=True"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 05 00 15 6D 01 00 01 01 66 03 00 0C 32 30 31 38 30 34 31 32 31 35 30 37 5D";"Uª....m....f...201804121507]";"Status Data DP=109 Bool=True DP=102 String="201804121507""
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 08 00 0C 01 12 04 13 0D 03 1D 6D 01 00 01 01 DA";"Uª...........m....Ú";"Report Data Local time is valid Date=18-04-19 13:03 DP=109 Bool=True"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 08 00 0C 00 12 04 13 0D 04 14 6D 01 00 01 01 D1";"Uª...........m....Ñ";"Report Data Local time is invalid Date=18-04-19 13:04 DP=109 Bool=True"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 08 00 1C 00 12 04 13 0D 06 04 6D 01 00 01 01 66 03 00 0C 32 30 31 38 30 34 31 32 31 35 30 37 A7";"Uª...........m....f...201804121507§";"Report Data Local time is invalid Date=18-04-19 13:06 DP=109 Bool=True DP=102 String="201804121507""
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 09 00 05 03 01 00 01 01 13";"Uª..........";"Send Command DP=3 Bool=True"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 03 09 00 00 0B";"Uª.....";"Send Command ACK"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 06 00 00 05";"Uª.....";"Obtain Local Time Cmd"
"Decoder";"23-07-29 16:55:26.11";"00:00:09.77";"55 AA 00 06 00 08 01 12 09 11 10 09 05 01 59";"Uª............Y";"Obtain Local Time successful Date=18-09-17 16:09 Week=1"
